step,r_true,r_pred
0,5.870149253731344,1.4234886169433594
1,-0.09999999999999964,0.06034285947680473
2,-0.09999999999999964,0.01870809867978096
3,-0.09999999999999964,-0.10250696539878845
4,-0.09999999999999964,-0.03814384341239929
5,-0.09999999999999964,-0.08371318131685257
6,-0.09999999999999964,-0.11535292863845825
7,-0.09999999999999964,-0.15477174520492554
8,-0.09999999999999964,-0.14735427498817444
9,-0.09999999999999964,-0.07769186049699783
10,-0.09999999999999964,-0.059782009571790695
11,-0.09999999999999964,-0.08604928106069565
12,-0.09999999999999964,-0.10094211250543594
13,-0.09999999999999964,-0.07169757783412933
14,-0.09999999999999964,-0.09758579730987549
15,-0.09999999999999964,-0.15607917308807373
16,-0.09999999999999964,-0.17888301610946655
17,-0.09999999999999964,-0.09114231914281845
18,-0.09999999999999964,-0.02971501648426056
19,-0.10000000000000009,-0.07153189182281494
20,-0.10000000000000009,-0.09999044984579086
21,-0.10000000000000009,-0.10437577217817307
22,-0.10000000000000009,-0.10083124786615372
23,-0.10000000000000009,-0.09757765382528305
24,-0.10000000000000009,-0.09610236436128616
25,-0.10000000000000009,-0.09580142796039581
26,-0.10000000000000009,-0.09605739265680313
27,-0.10000000000000009,-0.096390001475811
28,-0.10000000000000009,-0.09656347334384918
29,-0.10000000000000009,-0.09658133238554001
30,-0.10000000000000009,-0.09653719514608383
31,-0.10000000000000009,-0.09649906307458878
32,-0.10000000000000009,-0.0964849516749382
33,-0.10000000000000009,-0.09648648649454117
34,-0.10000000000000009,-0.09649209678173065
35,-0.10000000000000009,-0.0964958444237709
36,-0.10000000000000009,-0.09649690240621567
37,-0.10000000000000009,-0.09649651497602463
38,-0.10000000000000009,-0.09649587422609329
39,-0.10000000000000009,-0.09649551659822464
40,-0.10000000000000009,-0.11120208352804184
41,-0.10000000000000009,-0.10872950404882431
42,-0.10000000000000009,-0.06372975558042526
43,-0.10000000000000009,-0.044262468814849854
44,-0.10000000000000009,-0.05727185681462288
45,-0.10000000000000009,-0.06716448068618774
46,-0.10000000000000009,-0.07405274361371994
47,-0.10000000000000009,-0.0753166526556015
48,-0.10000000000000009,-0.07334718108177185
49,-0.09999999999999998,-0.07095150649547577
50,2.8850746268656717,-0.06950850039720535
51,-0.10000000000000009,-0.06936582177877426
52,-0.10000000000000009,-0.06994421035051346
53,-0.10000000000000009,-0.07054664194583893
54,-0.10000000000000009,-0.07083979994058609
55,-0.10000000000000009,-0.07082647830247879
56,-0.10000000000000009,-0.07067085057497025
57,-0.10000000000000009,0.11852451413869858
58,-0.10000000000000009,-0.23436549305915833
59,-0.10000000000000009,0.5061755180358887
60,-0.10000000000000009,-0.057996321469545364
61,2.885074626865672,0.03262058272957802
62,-0.09999999999999964,-0.2745782434940338
63,-0.09999999999999964,0.32150575518608093
64,-0.09999999999999964,-0.11951199918985367
65,-0.09999999999999964,-0.12396586686372757
66,-0.09999999999999964,-0.09124547243118286
67,-0.09999999999999964,-0.09520811587572098
68,2.8850746268656726,0.2039230614900589
69,-0.09999999999999964,-0.22575643658638
70,-0.09999999999999964,0.18337482213974
71,-0.09999999999999964,-0.11939717084169388
72,-0.09999999999999964,-0.11437300592660904
73,-0.09999999999999964,-0.0976177528500557
74,2.8850746268656717,-0.0997626855969429
75,-0.09999999999999964,-0.09666019678115845
76,-0.09999999999999964,-0.09468214958906174
77,-0.09999999999999964,-0.0949164628982544
78,-0.09999999999999964,-0.0957593247294426
79,-0.09999999999999964,-0.09641280025243759
80,2.8850746268656717,-0.09662435203790665
81,-0.09999999999999964,0.1998157501220703
82,-0.09999999999999964,-0.23034657537937164
83,-0.09999999999999964,0.17277169227600098
84,-0.09999999999999964,0.10943201929330826
85,-0.09999999999999964,-0.2489723563194275
86,2.8850746268656717,0.19145558774471283
87,-0.09999999999999964,-0.1240520253777504
88,-0.09999999999999964,0.443665474653244
89,-0.09999999999999964,0.3832719922065735
90,-0.09999999999999964,0.06368697434663773
91,-0.09999999999999964,-0.2023145854473114
92,2.8850746268656717,-0.1360173523426056
93,-0.10000000000000142,-0.0719568133354187
94,-0.10000000000000142,-0.09150820970535278
95,-0.10000000000000142,-0.09538120776414871
96,-0.10000000000000142,-0.09212682396173477
97,-0.10000000000000142,-0.00379056204110384
98,2.88507462686567,-0.06429688632488251
99,-0.10000000000000142,-0.0896592065691948
100,-0.10000000000000142,-0.01573619805276394
101,-0.10000000000000142,0.29979395866394043
102,-0.10000000000000142,-0.25576385855674744
103,-0.10000000000000142,0.4301336407661438
104,2.88507462686567,-0.13941919803619385
105,-0.10000000000000142,-0.10459346324205399
106,-0.10000000000000142,-0.0848388522863388
107,-0.10000000000000142,-0.11313735693693161
108,-0.10000000000000142,-0.041978150606155396
